be,なれ
timer,タイマー
unload,アンロード
unusually,異常に
vacate,退去します
whale,鯨
wisely,賢く
amateur,アマチュア
ambassador,大使
anew,新しい
architectural,建築
attain,達成
balloon,バルーン
blueprint,青写真
bug,バグ
cautious,注意深い
circuit,回路
clap,拍手
commerce,商業
convey,取り次ぐ
cord,コード
counselor,カウンセラー
debit,デビット
delicate,繊細
dependence,依存
distraction,気晴らし
downsize,ダウンサイズ
elephant,象
enthusiasm,熱意
enthusiast,愛好家
evident,明らか
flexibility,柔軟性
flextime,flextime
fortunately,幸運
freighter,貨物船
generator,発生器
hallway,廊下
hamburger,ハンバーガー
hazard,危険
homeowner,家主
imperative,必須
inflate,膨らみます
insert,入れる
lecturer,講師
meaningful,意味があります
memorize,暗記
merchant,商人
modification,変形
occupant,居住者
overcharge,過充電
oversee,監督
petition,嘆願
pillow,まくら
popcorn,ポップコーン
pottery,陶器
professionally,専門的に
publicize,公表します
ray,レイ
redecorate,改装します
refinery,製油所
refresh,リフレッシュします
refundable,返金可能
reimbursement,払い戻し
reliability,信頼性
reluctant,気が進まない
sewer,下水道
skate,スケート
skateboard,スケートボード
sleepy,眠いです
tailor,仕立て屋
termination,終了
theft,盗難
thunderstorm,雷雨
transmission,トランスミッション
transmit,送信
unused,未使用
waive,放棄します
yen,円
activate,活性化
additionally,さらに
affirmative,肯定
baker,ベイカー
brainstorm,ブレインストーミング
cage,ケージ
cinema,シネマ
collaboration,コラボレーション
condominium,コンドミニアム
consecutive,連続
cordless,コードレス
deluxe,デラックス
desirable,望ましい
discrepancy,不一致
dispatch,急送
drawback,欠点
dull,鈍い
economically,経済的に
evenly,均等に
excellence,優秀
exclusively,独占的に
farewell,別れ
fatigue,倦怠感
fiscal,財政
fleet,海軍
flour,小麦粉
fog,霧
formally,正式に
gram,グラム
handbook,ハンドブック
headphone,ヘッドホン
heater,ヒータ
helmet,ヘルメット
hiker,ハイカー
homeless,ホームレス
lighter,ライター
loudly,うるさい
loyalty,ロイヤリティ
microwave,電子レンジ
misidentify,誤認
neat,きちんとした
nomination,指名
officially,公式に
outfit,衣装
pastry,ペストリー
personalize,パーソナライズ
poorly,不完全に
prestigious,有名な
purser,パーサー
reassure,安心します
resume,履歴書
reunion,再会
revolutionize,革命を起こします
seafood,シーフード
signify,意味します
slot,スロット
steer,操縦
sue,訴える
superb,見事
traditionally,伝統的に
tremendous,絶大
underway,進行中
unpleasant,不快
violin,バイオリン
ward,区
worthwhile,価値がある
adapter,アダプタ
advisable,お勧めします
archive,記録
artistic,芸術的
assurance,保証
athletic,アスレチック
attire,服装
auditor,監査人
bankruptcy,倒産
bulk,バルク
butter,バター
centimeter,センチメートル
circulate,循環します
comb,櫛
comfortably,快適に
compliance,コンプライアンス
contraction,収縮
cookbook,料理本
cushion,クッション
dose,用量
drum,ドラム
embed,埋め込み
evacuate,隔離
expedite,迅速
extinguisher,消火器
familiarity,親しみやすさ
flaw,欠陥
fluctuate,変動します
fluent,流暢
honestly,本音
housekeep,ハウスキープ
hurricane,ハリケーン
hygiene,衛生
integral,積分
interactive,相互の作用
interfere,干渉
kilogram,キログラム
layoff,一時解雇する
lightweight,軽量
merit,メリット
necklace,ネックレス
needy,貧しい
overpay,過払い
pamphlet,パンフレット
partial,部分的
penalize,ペナルティ
pollute,汚染
prescribe,処方
probable,ありそう
prominent,目立つ
rainfall,降雨
relocation,再配置
residence,住居
retrieve,取得します
rider,ライダー
rubber,ゴム
rug,ラグ
salespeople,営業担当者
sharply,鋭く
similarity,類似性
someday,いつか
spectator,観客
stereo,ステレオ
storeroom,貯蔵室
subsidize,助成金
suspicious,疑わしい
tasty,美味しい
terrific,素晴らしい
underground,地下
unpaid,未払い
volleyball,バレーボール
wheelchair,車椅子
whoever,誰でも
wool,ウール
wrinkle,しわ
accuracy,正確さ
anyhow,とにかく
appetizer,前菜
arc,アーク
audition,オーディション
backpack,バックパック
ballroom,ボールルーム
beneficial,有益
biography,バイオグラフィー
bound,バウンド
broom,ほうき
cheeseburger,チーズバーガー
chilly,肌寒い
circus,サーカス
compliment,褒め言葉
consignment,委託
continental,コンチネンタル
copyright,著作権
countryside,田舎
demolish,破壊します
departmental,部門
desperate,やけくそ
devastate,壊滅的です
diagnostic,診断
diagram,図
diamond,ダイヤモンド
disable,無効にします
disgust,嫌悪
donut,ドーナツ
doorman,ドアマン
electronically,電子的に
elevate,高くします
engagement,婚約
enrollment,登録
euro,ユーロ
forbid,禁止
fork,フォーク
foster,フォスター
getaway,逃げる
gossip,ゴシップ
hacker,ハッカー
hardworking,勤勉な
impatient,せっかち
indirect,間接
interpreter,通訳者
intersection,交差点
irrelevant,無関係
jeans,ジーンズ
journalism,ジャーナリズム
letterhead,レターヘッド
lifeguard,ライフガード
modem,モデム
monument,記念碑
mosquito,蚊
obligate,義務
oblige,義務
occurrence,発生
operational,運用
outage,停止
overcrowd,オーバークラウド
paralegal,パラリーガル
partially,部分的に
pepper,コショウ
permanently,永久に
plow,プラウ
query,クエリ
railway,鉄道
raincoat,レインコート
reconsider,再考します
redesign,再設計
rehearsal,リハーサル
relaxation,リラクゼーション
repetition,繰り返し
retreat,退却
salon,サロン
satellite,衛生
scenery,景色
serial,シリアル
sew,縫う
sketch,スケッチ
smartphone,スマートフォン
soar,舞い上がる
stimulus,刺激
stockbroker,ストックブローカー
tablecloth,テーブルクロス
thirsty,喉が渇いた
thrill,スリル
tile,タイル
toiletry,トイレタリー
trademark,商標
tropical,トロピカル
tuna,ツナ
unemployed,失業者
validate,検証
vanilla,バニラ
willingness,意欲
wristwatch,腕時計
abide,順守します
actively,積極的に
allergy,アレルギー
apprehensive,不安
automotive,自動車
bacteria,細菌
broaden,広げる
bulb,バルブ
by-law,条例
cheer,応援
complication,合併症
considerate,思いやり
daytime,昼間
decoration,装飾
discard,破棄
drastically,劇的に
erase,消去します
explorer,冒険者
factual,事実
fixture,フィクスチャ
footwear,履物
genre,ジャンル
gymnasium,ジム
hereby,これが
hesitation,ためらいます
homemade,自家製
hospitality,おもてなし
incoming,着信
induction,誘導
inspiration,インスピレーション
intently,熱心に
mower,芝刈り機
nutrition,栄養
restatement,修正
sedan,セダン
sunscreen,日焼け止め
wellness,ウェルネス
workbook,ワークブック
bookcase,本棚
cleanliness,清潔さ
contestant,出場者
ethics,倫理
healthful,健康
inefficient,非効率的な
liter,リットル
recession,不況
timeline,タイムライン
unreliable,信頼できない
acclaim,称賛
chronic,慢性
deteriorate,劣化する
resemble,似ている
unauthorize,許可しない
violate,違反
unplug,プラグを抜く
videoconference,ビデオ会議
shoot,シュート
announce,発表
unless,そうでもなければ
independent,独立
recommend,お勧め
survey,調査
majority,多数
stick,棒
request,リクエスト
rich,リッチ
wind,風
none,なし
exchange,両替
budget,バジェット
famous,有名
blood,血液
appropriate,適切な
block,ブロック
warm,暖かい
count,カウント
scene,シーン
writer,作家
content,コンテンツ
prevent,防ぐ
safe,安全
invite,招待
mix,ミックス
element,エレメント
effective,効果的
correct,正しい
medical,医学
admit,認める
beat,ビート
telephone,電話
copy,コピー
committee,委員会
aware,わかっている
advice,アドバイス
handle,扱う
glass,ガラス
trial,トライアル
stress,ストレス
radio,無線
administration,管理
complex,繁雑
text,文章
context,環境
ride,乗る
directly,直接
heavy,重い
remove,削除する
conduct,行為
equipment,装置
otherwise,それ以外は
title,題名
extra,追加
executive,エグゼクティブ
chair,椅子
expensive,高い
sample,サンプル
sex,セックス
deliver,配達
video,ビデオ
connection,繋がり
primary,主要な
weather,天気
collect,収集
inform,知らせる
principle,原理
straight,真っ直ぐ
appeal,訴える
highly,非常に
trust,信頼
wonderful,素晴らしい
flat,平らな
absolutely,絶対
flow,フロー
fair,公平
additional,追加
responsible,責任者
farm,農場
collection,コレクション
hang,下がる
negative,ネガティブ
band,バンド
relative,相対的
tour,旅行
alternative,別
software,ソフトウェア
pair,ペア
ship,輸送する
attitude,態度
cheap,安いです
double,ダブル
leg,足
observe,観察する
sentence,文
print,印刷
progress,進捗
truth,真実
nobody,誰でもない
examine,診る
lay,横たわっている
speed,速度
politics,政治
reply,返事
display,画面
transfer,移行
perfect,完全
slightly,少し
overall,全体
intend,意図する
user,ユーザー
respond,応答
dinner,夕食
slow,スロー
regular,通常
physical,物理的
apart,離れて
suit,スーツ
federal,連邦政府
reveal,明らかな
percentage,パーセンテージ
peace,平和
status,状態
crime,犯罪
decline,却下
decade,十年
launch,発売
warn,暖かい
consumer,消費者
favor,好意
dry,ドライ
partner,相棒
institution,機関
spot,スポット
horse,うま
eventually,最終的
heat,熱
excite,エキサイト
reader,読者
importance,重要性
distance,距離
guide,ガイド
grant,許す
taxi,タクシー
feed,餌
pain,痛み
sector,セクタ
mistake,間違い
ensure,確認
satisfy,満足
chief,チーフ
cool,いいね
expert,エキスパート
wave,波
south,南
labor,労働
surface,水面
library,図書館
excellent,優れた
edge,縁
camp,キャンプ
audience,観客
lift,リフト
procedure,手順
email,Eメール
global,グローバル
struggle,闘争
advertise,宣伝します
select,選択する
surround,囲む
extent,範囲
river,川
annual,通年
fully,完全に
contrast,対比
roll,ロール
reality,現実
photograph,写真
artist,アーティスト
conflict,対立
entire,全体
presence,面前
crowd,群衆
corner,コーナー
gas,ガス
shift,シフト
net,ネット
category,カテゴリー
secretary,秘書
defense,防衛
quick,素早い
cook,料理
spread,展開する
nuclear,核
scale,規模
driver,運転者
ball,玉
cry,泣く
introduction,前書き
requirement,要件
north,北
confirm,確認
senior,シニア
photo,写真
refuse,ごみ
transport,輸送
emerge,出現します
map,地図
concept,概念
island,小島
reform,改革
neither,ない
football,フットボール
survive,生き残ります
flight,フライト
left,左
solve,解決する
neighbor,近所の人
background,バックグラウンド
technique,技術
traffic,トラフィック
improvement,改善
tool,道具
consequence,結果
circumstance,状況
smoke,煙
reaction,反応
rain,雨
busy,忙しい
lesson,レッスン
brain,脳
mass,質量
funny,面白い
contribute,助ける
failure,失敗
schedule,スケジュール
speaker,スピーカー
bottom,下
adopt,採用
combine,混ぜる
mountain,山
waste,廃棄物
hide,隠れる
marriage,結婚
ticket,チケット
meal,お食事
colleague,同僚
bag,バッグ
repeat,繰り返す
equal,同等
expression,表現
plus,プラス
extremely,非常に
owner,オーナー
plane,飛行機
commercial,商業
lady,レディ
duty,関税
strength,力
connect,接続
cultural,文化
arrange,整える
scheme,図式
payment,支払い
unfortunately,不幸にも
brief,簡単に
bird,鳥
demonstrate,実証します
contribution,貢献
appreciate,感謝
chapter,章
secret,秘密
apparently,どうやら
novel,小説
union,連合
burn,燃えた
trend,傾向
initial,イニシャル
pleasure,喜び
suggestion,提案
critical,致命的
gather,集める
mostly,多くの場合
earth,地球
pop,ポップ
essential,必要不可欠
desire,欲望
promote,促進
currently,現在
employ,雇用します
path,道
topic,トピック
beach,ビーチ
attract,引きつける
engage,従事
powerful,強力
flower,花
crisis,危機
settle,解決
boat,ボート
aid,援助
fan,ファン
kitchen,キッチン
twice,2回
fresh,新鮮な
delay,遅れ
safety,安全性
engineer,エンジニア
quiet,静かな
insurance,保険
nurse,看護婦
divide,分ける
length,長さ
investigation,調査
package,パッケージ
somewhere,どこか
expand,拡大
commit,専念
obvious,明らか
jump,ジャンプ
weapon,武器
relatively,比較的
host,ホスト
winter,冬
district,区域
broad,広い
tire,タイヤ
spring,バネ
spirit,精神
lunch,ランチ
actual,実際
pool,プール
battle,戦い
tradition,伝統
cash,現金
hardly,しそうにない
award,アワード
coach,コーチ
experiment,実験
consideration,考慮
strange,変
code,コード
possibly,おそらく
threat,脅威
accident,事件
impossible,無理だよ
revenue,収益
enable,有効
afraid,恐れ
active,アクティブ
conclude,結論
religious,宗教的
cancer,癌
convince,納得
vary,変化
environmental,環境
sun,太陽
healthy,健康
blow,吹く
volume,音量
location,位置
invest,投資
proceed,続行
wash,洗う
actor,俳優
glad,嬉しい
tape,テープ
whereas,一方
opposite,反対
stone,結石
sum,和
murder,殺人
monitor,モニター
soldier,兵隊
finance,ファイナンス
hate,嫌い
egg,卵
concert,コンサート
shock,ショック
comfortable,快適
usual,いつもの
carefully,気をつけて
pack,パック
recall,想起
wine,ワイン
camera,カメラ
swim,泳ぐ
manufacture,製造
theater,シアター
cycle,サイクル
coffee,コーヒー
totally,完全に
museum,美術館
visitor,ビジター
freedom,フリーダム
construction,工事
dear,親愛なる
objective,目的
moreover,さらに
onto,に
historical,歴史的
oppose,反対します
branch,ブランチ
vehicle,車両
scientist,科学者
route,ルート
bind,練る
belong,属する
taste,味
tonight,今夜
fashion,ファッション
danger,危険
bomb,爆弾
army,軍
dangerous,危険な
decrease,下降
hurt,傷つく
council,評議会
editor,編集者
normally,通常は
sight,視力
generate,生成
gift,贈り物
delivery,配達
deny,拒否
guest,ゲスト
anybody,誰でも
bedroom,寝室
quote,見積もり
climb,登る
basically,基本的
violence,暴力
minister,大臣
mainly,主に
mouth,口
noise,ノイズ
manner,マナー
gun,銃
square,四角
occasion,機会
familiar,見慣れた
ignore,無視
destroy,破壊する
affair,事件、出来事
civil,市民
locate,見つけます
citizen,市民
temperature,温度
gold,金
domestic,国内
load,ロード
belief,信念
troop,部隊
technical,テクニカル
remind,思い出させる
arrangement,配置
skin,肌
prison,刑務所
switch,スイッチ
acquire,取得
corporate,企業
fairly,かなり
wood,木材
participate,参加
tough,タフ
tear,破れ目
representative,代表
capacity,容量
border,国境
shake,振る
assessment,評価
shoe,靴
ought,すべきです
ad,広告
fee,費用
hall,ホール
regulation,規制
escape,エスケープ
studio,スタジオ
proper,ちゃんとした
relax,リラックス
tourist,観光客
component,成分
afford,余裕ある
lawyer,法律家
suspect,容疑者
cup,カップ
description,説明
confidence,自信
industrial,産業
complain,不平をいう
perspective,視点
error,エラー
arrest,逮捕
assess,評価
register,登録
asset,資産
signal,信号
finger,指
relevant,関連する
explore,見る
leadership,リーダーシップ
commitment,献身
wake,目を覚ます
necessarily,必要な
bright,明るい
frame,フレーム
slowly,ゆっくり
bond,つなぐ
hire,雇用
hole,穴
tie,ネクタイ
internal,内部
chain,鎖
literature,文学
victim,被害者
threaten,脅かす
division,分割
secure,安全
amaze,驚いた
device,デバイス
birth,誕生
forest,森林
label,ラベル
root,根
factory,工場
expense,費用
channel,チャネル
investigate,調査
recommendation,おすすめ
rank,ランク
typical,典型的
west,西
friendly,フレンドリー
resident,居住者
provision,規定
concentrate,集中
plenty,多くの
export,書き出す
entirely,全体的に
strongly,強く
bridge,橋
consist,構成
graduate,卒業
brand,ブランド
moral,道徳の
insist,主張
combination,組み合わせ
abuse,乱用
ice,氷
principal,主要
master,主人
definitely,絶対
session,セッション
grade,学年
nevertheless,それでもないし
predict,予測する
previously,以前
protection,保護
largely,主に
wed,結婚した
rent,家賃
shot,ショット
appearance,外観
reasonable,適正
guarantee,保証
till,till
theme,テーマ
judgment,判定
odd,奇数
approve,承認
loan,ローン
definition,意味
elect,選出
atmosphere,雰囲気
farmer,農家
comparison,比較
characteristic,特性
license,ライセンス
rely,頼る
narrow,狭い
succeed,成功した
identity,身元
desk,デスク
permit,許可
seriously,真剣に
wild,野生
empty,空の
commission,手数料
unique,個性的
association,協会
instrument,楽器
investor,投資家
practical,実用的
tea,お茶
lovely,素晴らしい
soft,柔らかい
row,行
youth,若者
lock,ロック
fuel,燃料
expectation,期待
employment,雇用
celebrate,祝う
sexual,性的
shoulder,ショルダー
breath,呼吸
increasingly,ますます
import,輸入
bottle,ボトル
ourselves,私たち自身
sheet,シート
engine,エンジン
cast,キャスト
notion,概念
conservative,保守的
journey,旅
opposition,反対
relief,安心
debt,借金
honor,名誉
outcome,結果
blame,非難
explanation,説明
arise,発生します
musical,ミュージカル
recover,回復します
dad,お父さん
stretch,ストレッチ
declare,宣言する
retire,引退
tiny,小さな
careful,気をつけろ
suitable,適切
native,ネイティブ
fruit,フルーツ
analyze,分析します
witness,目撃者
mail,郵便物
terrible,ひどい
researcher,研究者
ordinary,普通
selection,選択
anywhere,どこでも
mental,メンタル
participant,参加者
vision,ヴィジョン
personality,人格
specifically,具体的には
fat,太い
entry,エントリ
fellow,仲間
chemical,化学
capture,捕獲
tip,ヒント
discount,割引
peak,ピーク
chairman,会長
proportion,割合
ear,耳
disappear,消える
shout,叫ぶ
yard,ヤード
constant,絶え間ない
significantly,大幅
hill,丘
considerable,かなり
instruction,命令
intelligence,知能
ideal,理想
folk,フォーク
surely,もちろん
guard,ガード
cat,猫
somewhat,幾分
kiss,接吻
presentation,プレゼンテーション
joint,ジョイント
compete,競争
poll,世論調査
weak,弱い
faith,信仰
reduction,割引
reserve,予約
complaint,苦情文句
bore,退屈させる
mission,ミッション
somehow,何とかして
tone,調子
neighborhood,近所
passenger,乗客
justice,正義
phase,段階
thin,薄い
rush,急ぐ
formal,丁寧
religion,宗教
employer,雇用者
reject,拒絶
latter,後者
plate,皿
ban,禁止
steal,窃盗
protest,抗議する
index,索引
sad,悲しい
frequently,頻繁に
circle,サークル
helpful,役に立った
command,指図
attractive,魅力的
sick,病気
impression,印象
unable,不可能
joke,ジョーク
sky,空
column,桁
electronic,電子
impose,課す
criminal,犯罪的
besides,そのほか
properly,ちゃんと
ancient,古代
coast,海岸
ill,病気
kick,キック
closely,密接に
multiple,多数
yield,収率
via,経由
legislation,法律
county,郡
unlike,ようではない
mobile,モバイル
assistant,アシスタント
implement,埋め込む
chart,チャート
attach,取り付けます
hell,地獄
everywhere,どこにでも
advise,アドバイス
household,家庭
acknowledge,認めます
reward,褒美
east,東
hat,帽子
academic,アカデミック
voter,有権者
meanwhile,その間
furthermore,さらに
accuse,非難
scientific,科学的
wage,賃金
absence,不在
construct,構成
remark,述べる
medicine,薬
professor,教授
rare,レア
intention,目的
dozen,ダース
settlement,決済
gap,ギャップ
widely,広く
minimum,最小
northern,北
estate,エステート
equally,同様に
expose,公開
alive,生きている
shut,シャット
victory,勝利
resolve,解決
critic,批評家
variable,変数
enormous,甚大
sweet,甘い
permanent,永続
emotion,感情
pursue,追及する
tall,高い
urge,衝動
enemy,敵
appoint,任命
milk,ミルク
talent,タレント
smell,匂い
prior,前
priority,優先順位
online,オンライン
phrase,段階
pilot,パイロット
stable,安定
merely,単に
resolution,解像度
communicate,伝える
injury,けが
vast,広大
exhibition,エキシビション
producer,プロデューサー
regional,地域
immediate,すぐに
incident,インシデント
childhood,子供時代
draft,下書き
slip,スリップ
accompany,同行
politician,政治家
angry,怒り
knock,ノック
seed,シード
salary,給料
illustrate,説明します
imply,意味する
breakfast,朝ごはん
temporary,一時的
liberal,リベラル
lake,湖
qualify,資格
competitive,競争力
truly,本当に
hi,こんにちは
yellow,黄色
habit,癖
disk,ディスク
core,芯
emotional,感情の
aircraft,航空機
self,自己
metal,金属
existence,存在
bone,骨
panel,パネル
prime,プライム
appointment,予定
emphasize,強調
maximum,最大
effectively,効果的に
elsewhere,他の場所
bother,わざわざ
initiative,主導権
sharp,シャープ
diet,ダイエット
motion,モーション
gray,グレー
plastic,プラスチック
complicate,複雑です
discipline,規律
disappoint,がっかりする
boss,ボス
assumption,予測
freeze,氷結
extreme,過激
passage,通路
reputation,評判
forth,前方へ
negotiation,交渉
mechanism,機構
coat,コート
democracy,民主主義
pocket,ポケット
lucky,ラッキー
crash,クラッシュ
observation,観察
meat,肉
concentration,集中
implication,含意
deserve,値する
unusual,普通でない
defend,守る
classic,クラシック
king,キング
interaction,交流
repair,修理
collapse,崩壊
borrow,借りる
fundamental,基本的
dish,皿
abroad,外国
soul,魂
capable,有能
defeat,敗北
presidential,大統領
perfectly,完璧です
enhance,強化する
proud,誇り
emergency,緊急
educational,教育
distinguish,区別
substantial,実質的
nearby,近所の
manufacturer,メーカー
slide,滑り台
valuable,貴重
personally,個人的に
breast,胸
cope,対処
approximately,約
accommodation,宿泊施設
highlight,ハイライト
reporter,記者
climate,気候
shirt,シャツ
exception,例外
corporation,株式会社
chip,チップ
winner,勝者
encounter,出会い
brown,茶色
breathe,息
excuse,言い訳
partly,部分的に
tennis,テニス
urban,都市
confuse,混乱
southern,南方の
output,出力
beauty,美しさ
massive,大規模
install,インストール
calculate,計算します
mouse,ねずみ
mathematics,数学
upper,アッパー
creation,創造
occupy,占める
outline,概要
sufficient,十分な
update,アップデート
luck,幸運
preserve,保存
split,スプリット
swing,スイング
illness,病気
journalist,ジャーナリスト
sudden,突然
advertisement,広告
consistent,一貫性のある
originally,元は
aside,さておき
comfort,快適
secondly,第二に
severe,ひどい
gene,遺伝子
prospect,見込み
snow,雪
plot,プロット
neck,首
criterion,基準
primarily,主に
integrate,統合
criticism,批判
convention,大会
bet,ベット
retain,保持
sequence,順序
plain,プレーン
volunteer,ボランティア
rural,田舎
calm,落ち着いて
abandon,放棄する
examination,検査
silence,沈黙
rapidly,急速
efficient,効率的
revolution,革命
delight,喜び
spell,スペル
premise,前提
lean,リーン
dramatic,劇的
differ,異なる
grateful,ありがたい
protein,タンパク質
bike,自転車
distribute,分配します
intellectual,知的
derive,派生する
crucial,重要
unemployment,失業
wheel,車輪
crop,作物
minority,少数
origin,元
interpretation,解釈
gentleman,紳士
drama,ドラマ
landscape,風景
educate,教育する
toy,おもちゃ
fault,障害
exhibit,示す
minor,マイナー
hunt,ハント
storm,嵐
thick,厚い
achievement,業績
negotiate,交渉
dominate,支配します
supplier,サプライヤー
prize,賞
typically,通常
peer,ピア
pension,年金
wing,羽
acquisition,取得
laughter,笑い
deeply,深く
recognition,認識
electricity,電気
assistance,支援
roof,屋根
retirement,退職
respectively,それぞれ
variation,変化
ultimately,最終的に
proof,証拠
soil,土
smart,頭いい
layer,層
upset,動揺
tooth,歯
representation,表現
preparation,準備
dispute,紛争
agenda,議題
emphasis,強調
edition,版
silver,銀
entertainment,エンターテイメント
honest,本音
undertake,取り組む
retail,小売
wire,ワイヤー
unlikely,ありそうもない
gay,ゲイ
publication,出版
slight,わずか
unknown,わからない
framework,フレームワーク
zone,ゾーン
restrict,制限
trace,痕跡
inch,インチ
equivalent,同等
solid,個体
enterprise,企業
elderly,お年寄り
owe,借りている
governor,知事
uniform,ユニフォーム
port,ポート
pitch,ピッチ
arrival,到着
contemporary,コンテンポラリー
gate,ゲート
ease,簡易
beer,ビール
specialist,専門家
assure,保証します
profile,プロフィール
mood,ムード
episode,エピソード
crack,割れ目
numerous,多数
submit,参加する
symptom,症状
virtually,事実上
era,時代
coverage,カバレッジ
tension,テンション
cable,ケーブル
sensitive,センシティブ
nervous,緊張
input,入力
isolate,分離します
prisoner,囚人
eliminate,排除
tight,きつい
wet,濡れた
secondary,二次
welfare,福祉
recruit,リクルート
exclude,除外します
string,ストリング
cloud,クラウド
persuade,説く
inspire,インスパイヤ
grand,グランド
hence,したがって、
crew,クルー
phenomenon,現象
pupil,瞳
FALSE,間違い
assist,支援する
restore,戻す
formula,方式
alter,変更
perceive,知覚
routine,ルーティーン
sink,シンク
stare,見詰める
anymore,もう
hero,ヒーロー
supporter,サポーター
convert,変換
steady,安定
meter,メーター
truck,トラック
nose,鼻
beside,それ以外
sail,帆
disaster,災害
pace,ペース
heavily,重く
devote,献身する
terrorist,テロリスト
justify,正当化します
vital,重要
fascinate,魅了する
external,外部の
spare,予備の
whenever,いつでも
depression,うつ
guilty,有罪
underlie,下に
mom,議事録
distinction,違い
satisfaction,満足
incorporate,組み込む
pour,注ぐ
sweep,掃く
obligation,義務
sir,お客様
evaluate,評価
anger,怒り
pub,パブ
perception,感知
naturally,当然
currency,通貨
database,データベース
initially,最初は
territory,地域
stream,ストリーム
rarely,めったに
height,身長
apparent,見かけ上
western,西
expansion,拡張
constantly,常に
muscle,筋
scare,怖い
badly,ひどく
everyday,毎日
boundary,境界
ratio,比
essay,エッセイ
scream,悲鳴
withdraw,撤退
pollution,汚染
disorder,障害
furniture,家具
symbol,シンボル
apartment,アパート
demonstration,デモンストレーション
analyst,アナリスト
platform,プラットホーム
steel,鋼
cake,ケーキ
transform,変身
wound,傷
restriction,制限
foundation,財団
designer,デザイナー
strain,歪み
innovation,革新
album,アルバム
singer,歌手
trail,トレイル
trap,トラップ
loose,ゆるい
extension,拡大
wealth,富
gradually,徐々に
tank,タンク
evil,悪の
remarkable,顕著
tune,曲
grass,草
invitation,招待
transition,遷移
frighten,怖がっている
bid,入札
breed,繁殖
extraordinary,並外れた
brilliant,素晴らしい
adviser,顧問
stem,幹
reverse,逆行する
mode,モード
mirror,鏡
awful,最悪
pose,ポーズ
adjust,調整
creative,クリエイティブ
nowadays,近頃
poem,詩
agricultural,農業
competitor,競合他社選手
alcohol,アルコール
festival,フェスティバル
vegetable,野菜
van,バン
confident,自信
planet,星
curve,曲線
knee,膝
overcome,克服
web,ウェブ
depth,深さ
entrance,入口
log,ログ
giant,巨人
god,神様
portion,部分
substance,物質
extensive,広範囲
interpret,解釈
independence,独立
sugar,シュガー
inner,内側
harm,危害
consult,相談してください
pink,ピンク
shadow,影の多い
strip,ストリップ
smooth,スムーズ
intervention,介入
impress,印象づける
exam,テスト
vice,悪
radical,ラジカル
similarly,同様に
behave,振る舞う
loud,うるさい
dimension,寸法
subsequent,後続
infection,感染
jacket,ジャケット
efficiency,効率
dirty,汚れた
statistic,統計
regularly,定期的
resort,リゾート
iron,鉄
broadcast,ブロードキャスト
membership,メンバーシップ
bread,パン
blind,盲目
pure,ピュア
bloody,血まみれ
ally,味方
quantity,量
bend,曲げる
mature,成熟
briefly,簡単に
alarm,警報
disturb,乱す
sustain,保つ
flood,洪水
poverty,貧困
crazy,クレイジー
cite,引用
newly,新しく
parallel,平行
gender,性別
sponsor,スポンサー
boot,ブート
accurate,正確
dealer,ディーラー
button,ボタン
burden,負担
desert,荒野
mate,メイト
occasionally,たまに
shareholder,株主
bowl,丼鉢
discovery,発見
resistance,抵抗
bath,浴
frequency,周波数
criticize,批判
tap,タップします
philosophy,哲学
lip,リップ
attribute,属性
apologize,謝罪
approval,承認
grab,掴む
entitle,資格
lend,貸す
involvement,関与
exposure,暴露
conventional,従来型
digital,デジタル
translate,翻訳
edit,編集
formation,形成
deposit,デポジット
pleasant,楽しい
overseas,海外
advocate,提唱する
establishment,確率
summary,まとめ
rough,粗い
pen,ペン
recovery,回復
seal,密閉する
tube,チューブ
tower,タワー
characterize,特徴づけられます
specify,特定
exact,ちょうど
spin,スピン
operator,オペレーター
infant,子供
dig,掘る
drag,引っ張る
mount,マウント
wrap,包む
anticipate,予想
dependent,依存
specialize,専門化します
angle,角度
chicken,チキン
anxiety,不安
virus,ウイルス
precisely,正確に
rival,ライバル
offense,攻撃
detect,探知
teenager,ティーンエイジャー
admire,憧れ
moderate,適度
surgery,手術
musician,音楽家
significance,意義
shower,シャワー
illegal,違法
charity,慈善
universal,ユニバーサル
cigarette,シガレット
constitute,構成
adequate,適切
consultant,コンサルタント
historian,歴史家
cousin,いとこ
visual,ビジュアル
stupid,バカ
keen,鋭い
ethnic,エスニック
twin,ツイン
clinical,臨床
eastern,東部
forecast,天気
segment,セグメント
custom,習慣
adapt,適応する
sand,砂
cap,キャップ
prompt,促す
charm,魅力
react,反応します
lecture,講義
venture,ベンチャー
compound,化合物
rescue,救援
mess,混乱
preference,好み
comprehensive,包括的
incentive,インセンティブ
league,同盟
dialog,ダイアログ
cream,クリーム
rapid,急速
cancel,キャンセル
regret,後悔
dismiss,解散
margin,マージン
beneath,下
opponent,相手
resist,抵抗
capability,容量
absolute,絶対の
correspond,一致する
stroke,脳卒中
dare,あえて
barrier,バリア
rid,取り除く
divorce,離婚
ruin,破滅
bury,埋め込む
counsel,弁護士
tendency,傾向
frequent,頻繁
motor,モーター
survival,生存
counter,カウンター
possess,所有
permission,許可
valley,谷
float,浮く
mad,狂った
greatly,大いに
visible,見える
electric,電気の
impressive,印象的
evolution,進化
awareness,意識
violent,暴力的
slave,奴隷
wealthy,裕福
architecture,建築
acceptable,許容できる
journal,ジャーナル
coal,石炭
